Energy (MeV)	Position 3	unertainty 3
6.0327E-02	0.008968841	0.000280399
8.8348E-02	0.025857867	0.000803802
1.2213E-01	0.026465029	0.000850492
1.5936E-01	0.02677739	0.000861377
3.2020E-01	0.017247497	0.000760519
3.9236E-01	0.017341074	0.000538579
5.1404E-01	0.01545401	0.00048037
6.6221E-01	0.012575054	0.000390034
8.9828E-01	0.010502275	0.000325849
1.1731E+00	0.008939493	0.000277251
1.3332E+00	0.008406905	0.000260732
1.8360E+00	0.006735369	0.000208968
