6.03E-02	0.034973874	0.001087821	1.38E-02	0.2867
8.83E-02	0.14181334	0.004398738	1.27E-02	0.2996
1.22E-01	0.180724469	0.005786596	1.04E-02	0.3232
1.59E-01	0.182099345	0.005831449	1.50E-02	0.2529
3.92E-01	0.125444698	0.00388981	8.46E-03	0.3064
5.14E-01	0.107579175	0.00333633	6.15E-03	0.3406
6.62E-01	0.092134525	0.002856365	3.46E-03	0.3669
8.98E-01	0.060440635	0.001873961	4.61E-03	0.3519
1.17E+00	0.050254236	0.001558017	2.69E-03	0.3764
1.33E+00	0.047210134	0.001463641	3.46E-03	0.4569
1.84E+00	0.037228569	0.001154296	4.23E-03	0.3504
