Energy (MeV)	Experimental Absolute Efficiency
6.0327E-02	0.008968841
8.8348E-02	0.025857867
1.2213E-01	0.026465029
1.5936E-01	0.02677739
3.2020E-01	0.017247497
3.9236E-01	0.017341074
5.1404E-01	0.01545401
6.6221E-01	0.012575054
8.9828E-01	0.010502275
1.1731E+00	0.008939493
1.3332E+00	0.008406905
1.8360E+00	0.006735369
